VisitID	NosepokeOrder	Animal	Tag	Sex	Group	Cage	Corner	Side	SideCondition	SideError	TimeError	ConditionError	LickNumber	LickDuration	LickContactTime	StartDate	StartTime	StartTimecode	EndDate	EndTime	EndTimecode	NosepokeDuration	LickStartTime
817	3	FVB strain animal 6	981098106285524	Female	FVB strain	3	2	3	Correct	0	0	0	0	0	0	2016-07-20	15:43:03.765	19912.422	2016-07-20	15:43:04.125	19912.782	0.36	
817	4	FVB strain animal 6	981098106285524	Female	FVB strain	3	2	4	Neutral	0	0	0	5	0.828125	0.07	2016-07-20	15:43:31.343	19940	2016-07-20	15:43:37.062	19945.719	5.719	
817	5	FVB strain animal 6	981098106285524	Female	FVB strain	3	2	4	Neutral	0	0	0	0	0	0	2016-07-20	15:43:39.031	19947.688	2016-07-20	15:43:40.625	19949.282	1.594	
817	6	FVB strain animal 6	981098106285524	Female	FVB strain	3	2	4	Neutral	0	0	0	0	0	0	2016-07-20	15:43:40.703	19949.36	2016-07-20	15:43:40.843	19949.5	0.14	
817	7	FVB strain animal 6	981098106285524	Female	FVB strain	3	2	4	Neutral	0	0	0	0	0	0	2016-07-20	15:43:45.859	19954.516	2016-07-20	15:43:46.156	19954.813	0.297	
817	8	FVB strain animal 6	981098106285524	Female	FVB strain	3	2	4	Neutral	0	0	0	0	0	0	2016-07-20	15:43:53.328	19961.985	2016-07-20	15:43:53.750	19962.407	0.422	
1009	0	FVB strain animal 6	981098106285524	Female	FVB strain	3	2	4	Neutral	0	0	0	0	0	0	2016-07-20	17:55:20.250	27848.907	2016-07-20	17:55:22.734	27851.391	2.484	
1010	0	FVB strain animal 6	981098106285524	Female	FVB strain	3	1	1	Incorrect	1	0	0	0	0	0	2016-07-20	17:55:34.234	27862.891	2016-07-20	17:55:34.328	27862.985	0.094	
1010	1	FVB strain animal 6	981098106285524	Female	FVB strain	3	1	1	Incorrect	1	0	0	0	0	0	2016-07-20	17:55:34.859	27863.516	2016-07-20	17:55:35.015	27863.672	0.156	
1010	2	FVB strain animal 6	981098106285524	Female	FVB strain	3	1	2	Incorrect	1	0	0	0	0	0	2016-07-20	17:55:36.484	27865.141	2016-07-20	17:55:36.687	27865.344	0.203	
1010	3	FVB strain animal 6	981098106285524	Female	FVB strain	3	1	1	Incorrect	1	0	0	0	0	0	2016-07-20	17:55:41.765	27870.422	2016-07-20	17:55:42.406	27871.063	0.641	
1010	4	FVB strain animal 6	981098106285524	Female	FVB strain	3	1	1	Incorrect	1	0	0	0	0	0	2016-07-20	17:56:02.031	27890.688	2016-07-20	17:56:02.078	27890.735	0.047	
1015	0	FVB strain animal 6	981098106285524	Female	FVB strain	3	3	6	Incorrect	1	0	0	0	0	0	2016-07-20	18:07:46.734	28595.391	2016-07-20	18:07:46.984	28595.641	0.25	
1015	1	FVB strain animal 6	981098106285524	Female	FVB strain	3	3	6	Incorrect	1	0	0	0	0	0	2016-07-20	18:07:47.062	28595.719	2016-07-20	18:07:47.296	28595.953	0.234	
1015	2	FVB strain animal 6	981098106285524	Female	FVB strain	3	3	6	Incorrect	1	0	0	0	0	0	2016-07-20	18:07:49.359	28598.016	2016-07-20	18:07:49.453	28598.11	0.094	
1015	3	FVB strain animal 6	981098106285524	Female	FVB strain	3	3	6	Incorrect	1	0	0	0	0	0	2016-07-20	18:07:49.531	28598.188	2016-07-20	18:07:50.406	28599.063	0.875	
1015	4	FVB strain animal 6	981098106285524	Female	FVB strain	3	3	5	Incorrect	1	0	0	0	0	0	2016-07-20	18:07:51.296	28599.953	2016-07-20	18:07:52.140	28600.797	0.844	
1016	0	FVB strain animal 6	981098106285524	Female	FVB strain	3	1	2	Incorrect	1	0	0	0	0	0	2016-07-20	18:08:12.906	28621.563	2016-07-20	18:08:13.265	28621.922	0.359	
1016	1	FVB strain animal 6	981098106285524	Female	FVB strain	3	1	2	Incorrect	1	0	0	0	0	0	2016-07-20	18:08:13.656	28622.313	2016-07-20	18:08:14.062	28622.719	0.406	
1016	2	FVB strain animal 6	981098106285524	Female	FVB strain	3	1	1	Incorrect	1	0	0	0	0	0	2016-07-20	18:08:13.796	28622.453	2016-07-20	18:08:14.203	28622.86	0.407	
1016	3	FVB strain animal 6	981098106285524	Female	FVB strain	3	1	1	Incorrect	1	0	0	0	0	0	2016-07-20	18:08:17.078	28625.735	2016-07-20	18:08:17.109	28625.766	0.031	
1017	0	FVB strain animal 6	981098106285524	Female	FVB strain	3	2	4	Neutral	0	0	0	0	0	0	2016-07-20	18:08:22.078	28630.735	2016-07-20	18:08:22.375	28631.032	0.297	
1017	1	FVB strain animal 6	981098106285524	Female	FVB strain	3	2	4	Neutral	0	0	0	70	8.77225	1.078	2016-07-20	18:08:22.890	28631.547	2016-07-20	18:08:35.875	28644.532	12.985	
1018	0	FVB strain animal 6	981098106285524	Female	FVB strain	3	1	1	Incorrect	1	0	0	0	0	0	2016-07-20	18:08:49.406	28658.063	2016-07-20	18:08:49.718	28658.375	0.312	
